subject 	 condition 	 target                                   	 block 	 time
jpy19   	 thirtysix 	 ./icons/audio-volume-high.png.gif        	 5     	 1.07
jpy19   	 thirtysix 	 ./icons/audio-volume-high.png.gif        	 6     	 0.63
jpy19   	 thirtysix 	 ./icons/battery.png.gif                  	 6     	 1.07
jpy19   	 thirtysix 	 ./icons/user-home.png.gif                	 6     	 1.18
jpy19   	 thirtysix 	 ./icons/applications-graphics.png.gif    	 6     	 1.52
jpy19   	 thirtysix 	 ./icons/applications-accessories.png.gif 	 6     	 1.19
jpy19   	 thirtysix 	 ./icons/user-home.png.gif                	 7     	 1.37
jpy19   	 thirtysix 	 ./icons/applications-graphics.png.gif    	 7     	 1.41
jpy19   	 thirtysix 	 ./icons/battery.png.gif                  	 7     	 1.20
jpy19   	 thirtysix 	 ./icons/applications-accessories.png.gif 	 7     	 1.12
jpy19   	 thirtysix 	 ./icons/audio-volume-high.png.gif        	 7     	 0.94
jpy19   	 thirtysix 	 ./icons/user-home.png.gif                	 8     	 1.16
jpy19   	 thirtysix 	 ./icons/applications-graphics.png.gif    	 8     	 1.27
jpy19   	 thirtysix 	 ./icons/battery.png.gif                  	 8     	 1.32
jpy19   	 thirtysix 	 ./icons/applications-accessories.png.gif 	 8     	 1.19
jpy19   	 thirtysix 	 ./icons/audio-volume-high.png.gif        	 8     	 1.02
jpy19   	 thirtysix 	 ./icons/applications-accessories.png.gif 	 9     	 1.35
jpy19   	 thirtysix 	 ./icons/battery.png.gif                  	 9     	 1.24
jpy19   	 thirtysix 	 ./icons/applications-graphics.png.gif    	 9     	 1.31
jpy19   	 thirtysix 	 ./icons/user-home.png.gif                	 9     	 1.30
jpy19   	 thirtysix 	 ./icons/audio-volume-high.png.gif        	 9     	 1.19
